Years,Finalist,Winner,Outstanding Comedy Series,Outstanding Drama Series
1980,The Rockford Files,0,0,1
1980,The White Shadow,0,0,1
1979,All in the Family,0,1,0
1979,Barney Miller,0,1,0
1979,M*A*S*H,0,1,0
1979,Mork & Mindy,0,1,0
1979,The Paper Chase,0,0,1
1979,The Rockford Files,0,0,1
1978,Barney Miller,0,1,0
1978,M*A*S*H,0,1,0
1978,Soap,0,1,0
1978,Three's Company,0,1,0
1978,Columbo,0,0,1
1978,Family,0,0,1
1978,Lou Grant,0,0,1
1978,Quincy M.E.,0,0,1
1977,All in the Family,0,1,0
1977,Barney Miller,0,1,0
1977,M*A*S*H,0,1,0
1977,The Bob Newhart Show,0,1,0
1977,Baretta,0,0,1
1977,Columbo,0,0,1
1977,Family,0,0,1
1977,Police Story,0,0,1
1976,All in the Family,0,1,0
1976,Barney Miller,0,1,0
1976,M*A*S*H,0,1,0
1976,"Welcome Back, Kotter",0,1,0
1976,Baretta,0,0,1
1976,Columbo,0,0,1
1976,The Streets of San Francisco,0,0,1
1975,All in the Family,0,1,0
1975,M*A*S*H,0,1,0
1975,Rhoda,0,1,0
1975,Kojak,0,0,1
1975,Police Story,0,0,1
1975,The Streets of San Francisco,0,0,1
1975,The Waltons,0,0,1
1974,All in the Family,0,1,0
1974,The Mary Tyler Moore Show,0,1,0
1974,The Odd Couple,0,1,0
1974,Kojak,0,0,1
1974,Police Story,0,0,1
1974,The Streets of San Francisco,0,0,1
1974,The Waltons,0,0,1
1973,M*A*S*H,0,1,0
1973,Maude,0,1,0
1973,Sanford and Son,0,1,0
1973,The Mary Tyler Moore Show,0,1,0
1970,"Love, American Style",0,1,0
1970,Room 222,0,1,0
1970,The Bill Cosby Show,0,1,0
1970,The Courtship of Eddie's Father,0,1,0
1969,Bewitched,0,1,0
1969,Family Affair,0,1,0
1969,Julia,0,1,0
1969,The Ghost & Mrs. Muir,0,1,0
1968,Bewitched,0,1,0
1968,Family Affair,0,1,0
1968,Hogan's Heroes,0,1,0
1968,The Lucy Show,0,1,0
1967,Bewitched,0,1,0
1967,Get Smart,0,1,0
1967,Hogan's Heroes,0,1,0
1967,The Andy Griffith Show,0,1,0
1966,Batman,0,1,0
1966,Bewitched,0,1,0
1966,Get Smart,0,1,0
1966,Hogan's Heroes,0,1,0
